modelo,autogluon,autosklearn,catboost,lightgbm,realmlp,xgboost
autogluon,1.0,0.6748252742636359,0.11856586440676975,0.014996607492059222,0.01191365873459349,0.04353781545309321
autosklearn,0.6748252742636359,1.0,0.9062006763495141,0.49210922266522483,0.4471129795369698,0.718178181721928
catboost,0.11856586440676975,0.9062006763495141,1.0,0.9789991250887446,0.9687020545225152,0.9989816785066147
lightgbm,0.014996607492059222,0.49210922266522483,0.9789991250887446,1.0,0.9999997814735707,0.9993589406152088
realmlp,0.01191365873459349,0.4471129795369698,0.9687020545225152,0.9999997814735707,1.0,0.9984501355058804
xgboost,0.04353781545309321,0.718178181721928,0.9989816785066147,0.9993589406152088,0.9984501355058804,1.0
