openml_id,modelo,total_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,best_params,best_score_cv
11,realmlp,4.211704254150391,0.99787044462265,0.973404255319149,0.12269536869435442,,
11,lightgbm,21.215840101242065,0.8851094478600493,0.8670212765957447,0.3819372546078967,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.05977505142360254), 'n_estimators': 200, 'num_leaves': 40}",0.8809478822232718
11,xgboost,16.117230653762817,0.9392586652410229,0.898936170212766,0.2664603299383681,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.19020103466213772), 'max_depth': 3, 'n_estimators': 500}",0.8855298378208157
11,catboost,2.503117322921753,0.9153345807716297,0.9202127659574468,0.3828477323399692,"{'depth': 4, 'iterations': 500, 'l2_leaf_reg': np.float64(2.7914686374528714), 'learning_rate': np.float64(0.013491814589575175)}",0.901590300740041
15,realmlp,1.592212438583374,0.9692028985507246,0.9523809523809523,0.1739013875417413,,
15,lightgbm,1.6809072494506836,0.9924516908212561,0.9428571428571428,0.16410666455173253,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.019970999139010043), 'n_estimators': 500, 'num_leaves': 50}",0.9775051124744376
15,xgboost,2.2740840911865234,0.9915458937198067,0.9523809523809523,0.13015860837755902,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.013118424770919554), 'max_depth': 5, 'n_estimators': 500}",0.9734151329243353
15,catboost,3.6556284427642822,0.990438808373591,0.9476190476190476,0.12539271078357583,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': np.float64(2.5110824439271764), 'learning_rate': np.float64(0.011500412753684741)}",0.9815950920245399
18,realmlp,6.788005113601685,0.9544783950617284,0.735,0.7223720577409086,,
18,lightgbm,31.274789094924927,0.9648364197530864,0.7183333333333334,0.8068037380264492,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.011900590783184251), 'n_estimators': 100, 'num_leaves': 50}",0.7185854371341133
18,xgboost,22.179803371429443,0.9649259259259257,0.7266666666666667,0.6278042217496185,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.011900590783184251), 'max_depth': 3, 'n_estimators': 500}",0.7292936069576298
18,catboost,67.24622344970703,0.9656666666666668,0.7266666666666667,0.5940333250809645,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': np.float64(1.1615865989246452), 'learning_rate': np.float64(0.17160445029754812)}",0.7328686131610468
23,realmlp,5.685786008834839,0.665007031619232,0.5113122171945701,1.2712589838763007,,
23,lightgbm,12.399543285369873,0.7400579244043296,0.5701357466063348,0.8948220986569643,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.031448108040457876), 'n_estimators': 100, 'num_leaves': 40}",0.5548172757475084
23,xgboost,9.130746126174927,0.7611435026685571,0.5769230769230769,0.8709328209076552,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 3, 'n_estimators': 100}",0.5538454584491603
23,catboost,45.08259391784668,0.7634534472225104,0.583710407239819,0.8760619754658375,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': np.float64(9.32362135178148), 'learning_rate': np.float64(0.10196967939171485)}",0.5635551562817818
29,lightgbm,7.45035719871521,0.9224480151228733,0.8357487922705314,0.35805214911083294,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.010636066512540286), 'n_estimators': 200, 'num_leaves': 50}",0.8695652173913043
29,xgboost,3.1260828971862793,0.9116729678638941,0.8405797101449275,0.3752887294970262,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 3, 'n_estimators': 100}",0.8819875776397516
31,realmlp,3.761570453643799,0.6406878306878309,0.58,0.8779599588128919,,
31,lightgbm,3.0576817989349365,0.7405291005291006,0.7233333333333334,0.6009669645971268,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.019970999139010043), 'n_estimators': 500, 'num_leaves': 50}",0.7442989374319847
31,xgboost,3.447133779525757,0.7786243386243386,0.7466666666666667,0.5014989559376422,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.061721159481070736), 'max_depth': 3, 'n_estimators': 100}",0.7600295905016935
31,catboost,68.19861674308777,0.7876190476190478,0.77,0.4943658753390994,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': np.float64(9.32362135178148), 'learning_rate': np.float64(0.10196967939171485)}",0.7600234767616741
37,realmlp,2.170682668685913,0.7038683127572016,0.6926406926406926,0.7606270711859261,,
37,lightgbm,1.6723878383636475,0.8429629629629629,0.7705627705627706,0.4722515451801177,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.018891200276189388), 'n_estimators': 100, 'num_leaves': 20}",0.7653631284916201
37,xgboost,2.737187385559082,0.8432921810699588,0.7662337662337663,0.4665147384661361,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 3, 'n_estimators': 100}",0.7653631284916201
37,catboost,7.55868124961853,0.8391769547325102,0.7489177489177489,0.4748315395961096,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': np.float64(2.428938409410681), 'learning_rate': np.float64(0.010489929587681027)}",0.7783985102420856
50,realmlp,2.3279829025268555,0.9994148936170213,0.9826388888888888,0.09010375317574099,,
50,lightgbm,2.1412532329559326,1.0,1.0,0.002606426998611497,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.10872422452394664), 'n_estimators': 500, 'num_leaves': 40}",0.9925328315182576
