openml_id,modelo,total_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,best_params,best_score_cv,best_model_info
11,realmlp,62.24489545822144,0.9983649648044196,0.9787234042553192,0.1171136924286896,,,
11,lightgbm,918.6669116020204,0.8851094478600493,0.8670212765957447,0.3819372546078967,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.05977505142360254), 'n_estimators': 200, 'num_leaves': 40}",0.8809478822232718,
11,xgboost,993.3486368656158,0.9392586652410227,0.898936170212766,0.2664603299383681,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.19020103466213772), 'max_depth': 3, 'n_estimators': 500}",0.8855298378208157,
11,catboost,20.25283193588257,0.9153345807716295,0.9202127659574468,0.3828477323399692,"{'depth': 4, 'iterations': 500, 'l2_leaf_reg': np.float64(2.7914686374528714), 'learning_rate': np.float64(0.013491814589575175)}",0.901590300740041,
15,realmlp,78.1087851524353,0.968900966183575,0.9476190476190476,0.1658973470310894,,,
15,lightgbm,721.2468347549438,0.992451690821256,0.9428571428571428,0.1641066645517325,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.019970999139010043), 'n_estimators': 500, 'num_leaves': 50}",0.9775051124744376,
15,xgboost,344.95105385780334,0.9915458937198068,0.9523809523809524,0.130158608377559,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.013118424770919554), 'max_depth': 5, 'n_estimators': 500}",0.9734151329243352,
15,catboost,5.89409327507019,0.990438808373591,0.9476190476190476,0.1253927107835758,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': np.float64(2.5110824439271764), 'learning_rate': np.float64(0.011500412753684741)}",0.98159509202454,
18,realmlp,77.2671046257019,0.9556512345679014,0.7266666666666667,0.7143200324136707,,,
18,lightgbm,2812.92777132988,0.9648364197530864,0.7183333333333334,0.8068037380264492,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.011900590783184251), 'n_estimators': 100, 'num_leaves': 50}",0.7185854371341133,
18,xgboost,2629.4105446338654,0.9649259259259256,0.7266666666666667,0.6278042217496185,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.011900590783184251), 'max_depth': 3, 'n_estimators': 500}",0.7292936069576298,
18,catboost,123.16585946083067,0.9656666666666668,0.7266666666666667,0.5940333250809645,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': np.float64(1.1615865989246452), 'learning_rate': np.float64(0.17160445029754812)}",0.7328686131610468,
23,realmlp,127.75158882141112,0.6619731761017164,0.5090497737556561,1.2736645062116103,,,
23,lightgbm,1533.720176935196,0.7400579244043296,0.5701357466063348,0.8948220986569643,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.031448108040457876), 'n_estimators': 100, 'num_leaves': 40}",0.5548172757475084,
23,xgboost,931.424535036087,0.7611435026685571,0.5769230769230769,0.8709328209076552,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 3, 'n_estimators': 100}",0.5538454584491603,
23,catboost,254.95481133461,0.7634534472225104,0.583710407239819,0.8760619754658375,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': np.float64(9.32362135178148), 'learning_rate': np.float64(0.10196967939171485)}",0.5635551562817818,
29,realmlp,4.360826015472412,0.8731568998109641,0.8357487922705314,0.4461756648033355,,,
29,lightgbm,654.0292727947235,0.9224480151228732,0.8357487922705314,0.3580521491108329,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.010636066512540286), 'n_estimators': 200, 'num_leaves': 50}",0.8695652173913043,
29,xgboost,325.8960380554199,0.911672967863894,0.8405797101449275,0.3752887294970262,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 3, 'n_estimators': 100}",0.8819875776397516,
29,catboost,104.55512404441832,0.9242911153119092,0.8454106280193237,0.4117456022013211,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': np.float64(4.82240320006911), 'learning_rate': np.float64(0.06217616751968465)}",0.8778467908902691,
31,realmlp,124.078031539917,0.6234920634920635,0.5966666666666667,0.9314738313119352,,,
31,lightgbm,970.100616455078,0.7405291005291006,0.7233333333333334,0.6009669645971268,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.019970999139010043), 'n_estimators': 500, 'num_leaves': 50}",0.7442989374319847,
31,xgboost,333.8746750354767,0.7786243386243386,0.7466666666666667,0.5014989559376422,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.061721159481070736), 'max_depth': 3, 'n_estimators': 100}",0.7600295905016935,
31,catboost,237.66399765014648,0.7876190476190478,0.77,0.4943658753390994,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': np.float64(9.32362135178148), 'learning_rate': np.float64(0.10196967939171485)}",0.7600234767616741,
37,realmlp,20.94361257553101,0.6953086419753086,0.6623376623376623,0.8000666088936805,,,
37,lightgbm,353.6441638469696,0.8429629629629629,0.7705627705627706,0.4722515451801177,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.018891200276189388), 'n_estimators': 100, 'num_leaves': 20}",0.7653631284916201,
37,xgboost,250.75691318511963,0.8432921810699588,0.7662337662337663,0.4665147384661361,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 3, 'n_estimators': 100}",0.7653631284916201,
37,catboost,22.860780477523804,0.8391769547325102,0.7489177489177489,0.4748315395961096,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': np.float64(2.428938409410681), 'learning_rate': np.float64(0.010489929587681027)}",0.7783985102420856,
