modelo,autogluon,autosklearn,catboost,lightgbm,realmlp,xgboost
autogluon,1.0,0.21820878833535096,0.10019275926671811,0.10907794684752636,1.4222926616902498e-05,0.09188862079381999
autosklearn,0.21820878833535096,1.0,0.9993589406152088,0.9996167100870054,0.0841428177995408,0.9989816785066147
catboost,0.10019275926671811,0.9993589406152088,1.0,0.9999999931574889,0.18916564845672335,0.9999999931574889
lightgbm,0.10907794684752636,0.9996167100870054,0.9999999931574889,1.0,0.1756986420510228,0.9999997814735707
realmlp,1.4222926616902498e-05,0.0841428177995408,0.18916564845672335,0.1756986420510228,1.0,0.20333466479306983
xgboost,0.09188862079381999,0.9989816785066147,0.9999999931574889,0.9999997814735707,0.20333466479306983,1.0
