modelo,autogluon,autosklearn,catboost,lightgbm,realmlp,xgboost
autogluon,1.0,0.0011781263588144242,0.014996607492059222,0.00010622550302352707,1.2588630138310464e-10,0.09188862079381999
autosklearn,0.0011781263588144242,1.0,0.9831088797679565,0.99392775736702,0.04353781545309321,0.7790358762086611
catboost,0.014996607492059222,0.9831088797679565,1.0,0.8160746516368926,0.004492597159564404,0.9895275592303269
lightgbm,0.00010622550302352707,0.99392775736702,0.8160746516368926,1.0,0.17569864205102315,0.4250947779625194
realmlp,1.2588630138310464e-10,0.04353781545309321,0.004492597159564404,0.17569864205102315,1.0,0.0003681652273880287
xgboost,0.09188862079381999,0.7790358762086611,0.9895275592303269,0.4250947779625194,0.0003681652273880287,1.0
